Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,#HOF,#A-S,#a-tA-S,Est. Payroll,Time,Chall,Succ,Succ%,Managers
Arizona Diamondbacks,2036216,25138,26.7,26.4,107,107,0,1,12,"$78,399,500",3:14,37,22,59%,Hale
Atlanta Braves,2020914,24950,28.9,26.4,98,99,0,1,13,"$74,999,750",3:08,42,18,42%,González and Snitker
Baltimore Orioles,2172344,26819,28.5,27.9,102,102,0,5,17,"$153,744,833",3:00,39,20,51%,Showalter
Boston Red Sox,2955434,36487,28.5,29,106,106,1,6,18,"$218,682,750",3:12,46,20,43%,Farrell
Chicago Cubs,3232420,39906,27.4,29.9,101,100,0,7,19,"$176,097,333",3:05,42,21,50%,Maddon
Chicago White Sox,1746293,21559,28.3,28.6,96,96,0,2,16,"$113,416,000",3:03,39,20,51%,Ventura
Cincinnati Reds,1894085,23384,27.8,27.1,101,102,0,2,10,"$77,329,561",3:04,51,25,49%,Price
Cleveland Indians,1591667,19650,29,28.1,109,107,0,3,13,"$94,511,067",3:03,49,28,57%,Francona
Colorado Rockies,2602524,32130,27.8,27.7,116,116,0,2,9,"$89,707,000",3:11,54,32,59%,Weiss
Detroit Tigers,2493859,31173,30,29,100,101,0,1,15,"$199,902,000",3:05,34,19,55%,Ausmus
Houston Astros,2306623,28477,26.4,28.9,94,93,0,2,13,"$89,498,000",3:04,37,16,43%,Hinch
Kansas City Royals,2557712,31577,28.5,29.9,102,102,0,4,14,"$125,132,675",2:59,37,25,67%,Yost
Los Angeles Angels,3016142,37236,28.5,28.4,95,95,0,1,9,"$139,712,000",3:04,38,21,55%,Scioscia
Los Angeles Dodgers,3703312,45720,28.9,28.9,97,96,0,3,18,"$231,342,096",3:10,35,19,54%,Roberts
Miami Marlins,1712417,21405,28.3,28,93,94,0,4,11,"$72,472,000",3:05,53,34,64%,Mattingly
Milwaukee Brewers,2314614,28575,27.5,28.1,102,102,0,1,9,"$52,077,500",3:08,47,22,46%,Counsell
Minnesota Twins,1963912,24246,26.9,28.3,100,100,1,1,17,"$93,333,700",3:05,28,17,60%,Molitor
New York Mets,2789602,34440,29.5,28.4,96,96,0,4,13,"$155,221,282",3:05,28,18,64%,Collins
New York Yankees,3063405,37820,30.1,27.9,103,102,0,3,20,"$193,229,350",3:03,28,18,64%,Girardi
Oakland Athletics,1521506,18784,28.7,27.9,96,97,0,1,12,"$54,969,067",2:56,34,22,64%,Melvin
Philadelphia Phillies,1915144,23644,26.9,26.3,99,100,0,1,6,"$84,846,666",3:03,46,26,56%,Mackanin
Pittsburgh Pirates,2249201,27768,28.9,28.6,99,99,0,2,16,"$81,187,933",3:11,55,25,45%,Hurdle
San Diego Padres,2351422,29030,28.1,28.1,95,95,0,2,11,"$50,656,166",3:06,57,27,47%,Green
Seattle Mariners,2267928,27999,30.5,28.8,96,96,0,1,12,"$137,169,100",3:02,37,22,59%,Servais
San Francisco Giants,3365256,41546,29.1,30,96,96,0,4,15,"$177,021,333",3:10,49,31,63%,Bochy
St. Louis Cardinals,3444490,42525,28.5,28,98,97,0,2,13,"$150,353,500",3:01,54,28,51%,Matheny
Tampa Bay Rays,1286163,15879,27.7,26.9,95,95,0,1,10,"$48,223,791",3:01,49,29,59%,Cash
Texas Rangers,2710402,33462,28.4,28.8,107,108,1,2,14,"$212,117,760",3:00,51,23,45%,Banister
Toronto Blue Jays,3392099,41878,30.1,29.8,102,101,0,5,17,"$182,690,767",3:00,49,19,38%,Gibbons
Washington Nationals,2481938,30641,28.8,29.1,103,102,0,5,15,"$152,967,400",3:08,47,19,40%,Baker
