Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,St. Louis Cardinals,100,62,0.617,4,3.2,0.8,-0.3,0.5,96-66,4,20-12,46-30,23-11,11-9,55-26,45-36,8-8,32-23,75-44,25-18,46-31,54-31
2,Pittsburgh Pirates,98,64,0.605,4.3,3.7,0.6,-0.3,0.3,93-69,5,24-9,34-42,27-6,13-7,53-28,45-36,12-9,36-17,78-48,20-16,42-32,56-32
3,Chicago Cubs,97,65,0.599,4.3,3.8,0.5,-0.3,0.2,90-72,7,22-12,46-30,19-13,10-10,49-32,48-33,13-5,34-21,77-51,20-14,44-32,53-33
4,Kansas City Royals,95,67,0.586,4.5,4,0.5,0.2,0.7,90-72,5,18-16,44-32,20-12,13-7,51-30,44-37,10-6,23-17,64-40,31-27,47-43,48-24
5,Toronto Blue Jays,93,69,0.574,5.5,4.1,1.4,0.2,1.6,102-60,-9,42-34,20-14,19-13,12-8,53-28,40-41,8-6,15-28,73-54,20-15,53-33,40-36
6,Los Angeles Dodgers,92,70,0.568,4.1,3.7,0.4,-0.3,0.1,89-73,3,19-13,17-17,46-30,10-10,55-26,37-44,6-9,23-26,67-51,25-19,28-37,64-33
7,New York Mets,90,72,0.556,4.2,3.8,0.4,-0.4,0,89-73,1,47-29,13-20,21-12,9-11,49-32,41-40,9-6,25-24,70-56,20-16,28-38,62-34
8,Texas Rangers,88,74,0.543,4.6,4.5,0.1,0.2,0.4,83-79,5,23-11,18-14,36-40,11-9,43-38,45-36,5-4,27-22,53-43,35-31,48-36,40-38
9,New York Yankees,87,75,0.537,4.7,4.3,0.4,0.3,0.8,88-74,-1,38-38,21-12,17-16,11-9,45-36,42-39,4-9,23-24,60-52,27-23,40-47,47-28
10,Houston Astros,86,76,0.531,4.5,3.8,0.7,0.2,0.9,93-69,-7,18-16,14-18,38-38,16-4,53-28,33-48,8-6,21-29,56-45,30-31,42-43,44-33
