Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
11,Los Angeles Angels of Anaheim,85,77,0.525,4.1,4.2,-0.1,0.3,0.2,79-83,6,16-16,17-17,44-32,8-12,49-32,36-45,5-7,35-17,60-55,25-22,38-48,47-29
12,San Francisco Giants,84,78,0.519,4.3,3.9,0.4,-0.3,0.1,89-73,-5,18-15,15-18,38-38,13-7,47-34,37-44,6-5,19-28,62-56,22-22,29-33,55-45
13,Minnesota Twins,83,79,0.512,4.3,4.3,0,0.2,0.2,81-81,2,19-14,40-36,16-17,8-12,46-35,37-44,6-8,21-20,55-53,28-26,42-46,41-33
14,Washington Nationals,83,79,0.512,4.3,3.9,0.4,-0.4,0,89-73,-6,44-32,14-19,17-16,8-12,46-35,37-44,9-2,22-22,60-63,23-16,28-37,55-42
15,Cleveland Indians,81,80,0.503,4.2,4,0.2,0.2,0.4,84-77,-3,18-15,32-43,19-14,12-8,39-41,42-39,5-4,15-18,57-49,24-31,41-46,40-34
16,Baltimore Orioles,81,81,0.5,4.4,4.3,0.1,0.4,0.5,83-79,-2,39-37,15-18,15-18,12-8,47-31,34-50,6-5,25-26,59-58,22-23,37-51,44-30
17,Tampa Bay Rays,80,82,0.494,4,4,0,0.4,0.4,81-81,-1,36-40,13-19,17-17,14-6,42-42,38-40,2-13,26-30,50-59,30-23,46-58,34-24
18,Arizona Diamondbacks,79,83,0.488,4.4,4.4,0,-0.3,-0.2,82-80,-3,15-18,14-19,39-37,11-9,39-42,40-41,9-9,20-24,60-61,19-22,32-53,47-30
19,Boston Red Sox,78,84,0.481,4.6,4.6,0,0.4,0.3,81-81,-3,35-41,15-18,15-18,13-7,43-38,35-46,7-7,20-19,57-59,21-25,44-59,34-25
20,Chicago White Sox,76,86,0.469,3.8,4.3,-0.5,0.3,-0.2,72-90,4,14-19,32-44,21-12,9-11,40-41,36-45,13-5,29-30,58-68,18-18,49-61,27-25
21,Seattle Mariners,76,86,0.469,4,4.5,-0.4,0.3,-0.1,74-88,2,15-17,14-20,39-37,8-12,36-45,40-41,10-13,28-29,54-54,22-32,44-58,32-28
22,Detroit Tigers,74,87,0.46,4.3,5,-0.7,0.3,-0.4,69-92,5,12-20,41-34,12-22,9-11,38-43,36-44,9-8,26-22,53-70,21-17,51-59,23-28
23,San Diego Padres,74,88,0.457,4,4.5,-0.5,-0.2,-0.7,72-90,2,17-16,15-18,35-41,7-13,39-42,35-46,7-5,22-21,55-67,19-21,33-50,41-38
24,Miami Marlins,71,91,0.438,3.8,4.2,-0.4,-0.3,-0.7,74-88,-3,35-41,13-19,16-18,7-13,41-40,30-51,6-3,23-21,57-72,14-19,33-47,38-44
25,Milwaukee Brewers,68,94,0.42,4,4.5,-0.5,-0.2,-0.7,72-90,-4,17-16,31-45,12-21,8-12,34-47,34-47,4-5,16-16,49-74,19-20,36-61,32-33
26,Oakland Athletics,68,94,0.42,4.3,4.5,-0.2,0.3,0.1,77-85,-9,10-23,14-19,33-43,11-9,34-47,34-47,7-10,19-35,53-62,15-32,45-62,23-32
27,Colorado Rockies,68,94,0.42,4.5,5.2,-0.7,-0.2,-0.9,71-91,-3,16-18,15-17,32-44,5-15,36-45,32-49,3-5,20-24,57-62,11-32,29-53,39-41
28,Atlanta Braves,67,95,0.414,3.5,4.7,-1.2,-0.2,-1.4,61-101,6,34-42,15-18,12-21,6-14,42-39,25-56,4-9,28-18,54-72,13-23,29-53,38-42
29,Cincinnati Reds,64,98,0.395,4,4.7,-0.7,-0.1,-0.8,69-93,-5,16-17,33-43,8-25,7-13,34-47,30-51,5-12,18-29,49-71,15-27,35-62,29-36
30,Philadelphia Phillies,63,99,0.389,3.9,5,-1.1,-0.2,-1.4,62-100,1,30-46,11-23,14-18,8-12,37-44,26-55,6-9,16-27,45-79,18-20,29-54,34-45
,Average,80,80,0.5,4.2,4.3,,,,81-80,,24-23,22-24,24-23,10-10,43-37,37-43,7-7,23-23,59-58,21-22,38-47,42-33
