Rk,Tm,W,L,W-L%,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500
1,Los Angeles Dodgers,111,51,0.685,5.2,3.2,2.1,-0.2,1.8,116-46,-5,19-14,23-10,54-22,15-5,57-24,54-27,6-9,16-15,79-35,32-16,50-27,61-24
2,Houston Astros,106,56,0.654,4.5,3.2,1.4,-0.1,1.3,106-56,0,17-15,26-8,51-25,12-8,55-26,51-30,5-6,28-16,64-44,42-12,42-27,64-29
3,Atlanta Braves,101,61,0.623,4.9,3.8,1.1,-0.1,1,100-62,1,48-28,21-12,19-14,13-7,55-26,46-35,6-7,26-18,64-44,37-17,40-37,61-24
4,New York Mets,101,61,0.623,4.8,3.7,1,-0.1,1,99-63,2,50-26,23-10,19-14,9-11,54-27,47-34,10-2,21-15,69-38,32-23,45-37,56-24
5,New York Yankees,99,63,0.611,5,3.5,1.5,0,1.5,106-56,-7,47-29,25-8,17-16,10-10,57-24,42-39,10-8,31-27,73-48,26-15,50-43,49-20
6,St. Louis Cardinals,93,69,0.574,4.8,3.9,0.8,-0.3,0.6,95-67,-2,16-18,48-28,19-13,10-10,53-28,40-41,8-4,26-17,69-58,24-11,34-38,59-31
7,Cleveland Guardians,92,70,0.568,4.3,3.9,0.4,-0.1,0.2,88-74,4,15-17,47-29,18-16,12-8,46-35,46-35,13-6,28-17,64-53,28-17,34-34,58-36
8,Toronto Blue Jays,92,70,0.568,4.8,4.2,0.6,0.1,0.7,91-71,1,43-33,19-15,17-15,13-7,47-34,45-36,8-7,30-20,80-50,12-20,45-49,47-21
9,Seattle Mariners,90,72,0.556,4.3,3.8,0.4,0,0.4,89-73,1,16-17,21-12,41-35,12-8,46-35,44-37,11-5,34-22,68-52,22-20,38-33,52-39
10,San Diego Padres,89,73,0.549,4.4,4.1,0.3,0,0.3,86-76,3,19-15,21-11,41-35,8-12,44-37,45-36,12-5,30-17,58-50,31-23,38-44,51-29
11,Philadelphia Phillies,87,75,0.537,4.6,4.2,0.4,0,0.4,87-75,0,41-35,20-13,17-16,9-11,47-34,40-41,8-6,22-25,59-57,28-18,34-47,53-28
12,Milwaukee Brewers,86,76,0.531,4.5,4.2,0.2,-0.2,0,85-77,1,13-18,42-34,16-19,15-5,46-35,40-41,9-9,28-23,59-51,27-25,35-36,51-40
13,Tampa Bay Rays,86,76,0.531,4.1,3.8,0.3,0.1,0.4,87-75,-1,40-36,15-17,19-15,12-8,51-30,35-46,11-10,27-27,64-60,22-16,41-48,45-28
14,Baltimore Orioles,83,79,0.512,4.2,4.2,-0.1,0.2,0.1,79-83,4,34-42,16-17,21-12,12-8,45-36,38-43,8-5,23-24,56-56,27-23,42-47,41-32
15,Chicago White Sox,81,81,0.5,4.2,4.4,-0.2,-0.1,-0.3,78-84,3,15-17,37-39,18-16,11-9,37-44,44-37,6-9,27-16,64-61,17-20,31-36,50-45
16,San Francisco Giants,81,81,0.5,4.4,4.3,0.1,0,0.1,83-79,-2,19-14,19-14,33-43,10-10,44-37,37-44,7-7,22-27,52-55,29-26,31-47,50-34
17,Minnesota Twins,78,84,0.481,4.3,4.2,0.1,-0.1,0,82-80,-4,18-16,39-37,13-19,8-12,46-35,32-49,5-10,20-28,51-62,27-22,39-53,39-31
18,Boston Red Sox,78,84,0.481,4.5,4.9,-0.3,0.2,-0.1,76-86,2,26-50,18-15,25-8,9-11,43-38,35-46,7-11,24-26,55-71,23-13,47-65,31-19
19,Chicago Cubs,74,88,0.457,4.1,4.5,-0.5,-0.1,-0.6,73-89,1,21-10,37-39,10-25,6-14,37-44,37-44,7-12,26-27,55-64,19-24,37-58,37-30
20,Arizona Diamondbacks,74,88,0.457,4.3,4.6,-0.2,0,-0.2,77-85,-3,16-15,17-18,29-47,12-8,40-41,34-47,5-7,17-29,51-62,23-26,39-60,35-28
21,Los Angeles Angels,73,89,0.451,3.8,4.1,-0.3,0.1,-0.1,76-86,-3,11-23,18-14,37-39,7-13,40-41,33-48,7-8,18-28,50-63,23-26,34-58,39-31
22,Miami Marlins,69,93,0.426,3.6,4.2,-0.6,0.1,-0.5,70-92,-1,34-42,15-18,12-21,8-12,34-47,35-46,8-9,24-40,51-72,18-21,36-65,33-28
23,Texas Rangers,68,94,0.42,4.4,4.6,-0.2,0.1,-0.1,77-85,-9,9-24,17-16,31-45,11-9,34-47,34-47,6-9,15-35,41-66,27-28,30-57,38-37
24,Colorado Rockies,68,94,0.42,4.3,5.4,-1.1,0.1,-1,65-97,3,10-24,16-16,33-43,9-11,41-40,27-54,6-8,23-24,39-62,29-32,35-63,33-31
25,Detroit Tigers,66,96,0.407,3.4,4.4,-1,0,-1,63-99,3,11-21,34-42,10-24,11-9,36-46,30-50,3-7,22-20,46-72,20-24,32-56,34-40
26,Kansas City Royals,65,97,0.401,4,5,-1,0.1,-1,64-98,1,13-22,33-43,12-19,7-13,39-42,26-55,5-5,16-20,45-76,20-21,34-58,31-39
27,Pittsburgh Pirates,62,100,0.383,3.6,5,-1.4,0,-1.4,58-104,4,9-26,35-41,14-17,4-16,34-47,28-53,4-9,21-27,40-67,22-33,26-64,36-36
28,Cincinnati Reds,62,100,0.383,4,5,-1,-0.1,-1.1,64-98,-2,12-22,28-48,10-22,12-8,33-48,29-52,6-5,21-23,45-71,17-29,32-61,30-39
29,Oakland Athletics,60,102,0.37,3.5,4.8,-1.2,0.2,-1,59-103,1,13-20,12-21,30-46,5-15,29-51,31-51,6-4,17-25,44-75,16-27,33-60,27-42
30,Washington Nationals,55,107,0.34,3.7,5.3,-1.6,0.1,-1.4,56-106,-1,17-59,15-18,15-18,8-12,26-55,29-52,3-7,17-22,39-67,16-40,30-70,25-37
,Average,81,81,0.5,4.3,4.3,,,,81-80,,22-24,25-22,23-23,10-10,43-37,37-43,7-7,23-23,56-58,24-22,37-49,43-31
