,...1,Rk,Team,W,L,WL,R,RA,Rdiff,Home,Road,tYear,Attendance,Attend/G,BatAge,PAge,#A-S,#a-tA-S,Est. Payroll,Time,Season,TeamAbb,TG,HR,RTotal,SB,K.,ISO,AVG,OBP,wOBA,wRC.,WAR,city.x,Population
0,0,1,Atlanta Braves,1.9300313690447075,-1.932451989955041,0.642,2.7057462219523405,-0.1631815905645019,1.9768050163806574,52-29,52-29,Atlanta Braves2023,1.1303943353126145,1.1321218412090484,-0.5065824859593262,1.1658862448971266,8,0.8790116035582389,"$194,197,500",-2.0907755379499884,2023,ATL,162,3.4467956737056307,2.804986293434548,1.3156237170065017,0.15540034523899687,3.2967550337454985,1.6293055456659438,1.544911144622864,2.7486271406793894,3.158725089652258,2.7208491162497936,Atlanta,0.15068344544229853
1,1,2,Baltimore Orioles,1.6784382877940982,-1.6802425261120646,0.623,1.0612587222405059,-0.5423278829922749,1.130906072159596,49-32,52-29,Baltimore Orioles2023,-0.6226165780502122,-0.6236766206730556,-1.077447219190006,-0.10644325203055366,4,-0.7277838007955307,"$82,758,114",-1.530098534924174,2023,BAL,162,0.2102909237443235,1.0258145881281375,0.7240859924573668,0.7821961485816737,0.4869703657849998,-0.024561741986733453,-0.1379424331524466,0.10322180245368433,0.9740389628402847,0.64262406200745,Baltimore,-0.6839570056855425
2,2,3,Los Angeles Dodgers,1.5945739273772284,-1.5961727048310725,0.617,2.2946243470243814,-0.3527547367783892,1.8358218590104807,53-28,47-34,Los Angeles Dodgers2023,2.0323565204150276,2.035524923274921,1.9399806564578745,-0.3609091514160873,5,-0.19218533267760754,"$227,091,667",-1.9786401373448255,2023,LAD,162,1.932946677755987,2.283943151166242,0.42831713018279943,0.45374939475551845,1.9680472155865043,0.19715347076362053,1.2759993193837482,1.5141781497320501,2.2069082133206166,1.7039071866009794,LosAngeles,1.5809870497744132
3,3,4,Tampa Bay Rays,1.5107095669603585,-1.5121028835500803,0.611,1.6779415346324436,-0.7319010292061622,1.6948387016403037,53-28,46-35,Tampa Bay Rays2023,-1.3162961856812394,-1.3185148757626164,-1.4036556381789649,-0.021621285568707106,4,-1.5311815029724156,"$75,441,212",-2.5393171403706396,2023,TBR,162,1.43703062735869,1.6993581622798501,2.2357935107496005,1.019783814175198,1.3832014297322939,0.38708428849048404,0.6388424450450972,1.1073135620690162,2.392749991474892,1.6977969434111122,Tampa,-0.5455548834244076
4,4,5,Milwaukee Brewers,0.9236590440422701,-0.9236141345831352,0.568,0.03345403492060902,-0.9214741754200478,0.7079566000490651,49-32,43-38,Milwaukee Brewers2023,0.2359991017827781,0.23631323925589995,-0.6696866954538058,0.6569544461260562,2,-0.4599845667365691,"$138,288,760",-2.315046339160314,2023,MIL,162,-0.2595242818952211,0.021853411562377408,1.2170340962483126,1.0812765394908002,-0.5057653753170003,-1.2076337363871148,-0.24499437718985448,-0.6982333046544881,-0.5613685392995692,-0.10574314950282664,Milwaukee,-0.884217311208085
5,5,6,Houston Astros,0.7559303232085305,-0.7554744920211509,0.556,1.2668196597044845,-0.3527547367783892,1.130906072159596,39-42,51-30,Houston Astros2023,0.9359700651987598,0.9373857690648614,0.22738645676583577,0.5721324796642098,3,-0.9955830348544924,"$240,388,766",-1.7543693361344999,2023,HOU,162,1.22822386929667,1.279981974600482,0.49404354402159223,-0.12469131954458036,1.036649519482991,0.30888023070632653,0.6210364566308815,0.8643506575803124,1.6979103268775095,1.05031698605016,Houston,0.28441282724124084
6,6,7,Philadelphia Phillies,0.7559303232085305,-0.7554744920211509,0.556,0.8556977847765272,-0.1631815905645019,0.7079566000490651,49-32,41-40,Philadelphia Phillies2023,0.9363305292877045,0.9377258204131923,-0.09882196222312609,1.081064278435283,2,-0.19218533267760754,"$241,362,606",-1.8665047367396626,2023,PHI,162,1.1760221797811652,0.8860225255683482,1.6113925792810693,1.3150641210589997,1.2404226242859113,0.06444570053802365,0.32386580220741856,0.7132354019643077,0.9826521379606344,0.40076892421057636,Philadelphia,0.07925726980592504
7,7,8,Texas Rangers,0.7559303232085305,-0.7554744920211509,0.556,1.8835024720964242,-0.1631815905645019,1.4128723868999498,50-31,40-41,Texas Rangers2023,0.21042710868217387,0.21069603768163556,-0.18037406697036437,1.5899960772063533,6,-0.4599845667365691,"$248,537,867",-2.315046339160314,2023,TEX,162,1.5153331616319474,1.9662339180758117,-0.4261262497215065,0.8109476079205171,1.6006341222025777,0.6137846351474452,1.0520269998572491,1.4124176235434325,1.9585998778624818,1.7029256479961,Arlington,0.25481880431402065
8,8,9,Toronto Blue Jays,0.6720659627916606,-0.6714046707401587,0.549,0.23901497238458766,-0.7319010292061622,0.7079566000490651,43-38,46-35,Toronto Blue Jays2023,0.89343669985091,0.8947660000740498,0.22738645676583577,1.7596400101300465,5,0.8790116035582389,"$211,190,269",-1.7543693361344999,2023,TOR,162,0.34079514753308593,0.2506040593874873,0.23113788866642115,0.2706374440206072,0.21934005559007633,0.07332420324285698,0.43809766318173016,0.34263142195834717,1.1513419015081658,0.8569189390045558,Toronto,0.20987149129673888
9,9,10,Seattle Mariners,0.5882016023747908,-0.5873348494591666,0.543,0.44457590984856815,-0.7319010292061622,0.848939757419242,45-36,43-38,Seattle Mariners2023,0.43030182005268625,0.4309359609506432,-0.5881345907065645,-0.9546629166490072,3,-0.9955830348544924,"$128,155,663",-1.9786401373448255,2023,SEA,162,0.9150137322036404,0.4031044912708939,0.8555388201349524,2.0290838283726553,0.6796154223631947,-0.9980818111845741,-0.09247867471046314,0.02245891536111578,1.1157471699477255,0.8258370127644561,Seattle,-0.4249536772097209
